,,,High_Freq_Mean_dB (>10Hz),High_Freq_Mean_dB (>10Hz),Low_Freq_Mean_dB (0-10Hz),Low_Freq_Mean_dB (0-10Hz),Overall_Mean_dB,Overall_Mean_dB,Peak_Power_dB,Peak_Power_dB
Group,,,HC,MCI,HC,MCI,HC,MCI,HC,MCI
Axis,Task,Eye,,,,,,,,
Horizontal,Horizontal Saccade A,Left,-10.2671,-4.792,5.1315,8.042,0.6039,3.701,17.9225,18.9822
Horizontal,Horizontal Saccade A,Right,-12.646,-4.8725,3.6647,7.3575,-0.908,3.0772,15.3948,20.0022
Horizontal,Horizontal Saccade B,Left,-8.92,-3.1891,8.4001,9.9341,3.7869,5.5667,19.6249,22.7498
Horizontal,Horizontal Saccade B,Right,-10.0394,-5.2176,8.0264,9.093,3.3887,4.6323,18.714,19.917
Horizontal,Horizontal Saccade B (anti),Left,-9.0192,-6.1635,9.3433,9.9268,4.6969,5.3642,21.204,20.4309
Horizontal,Horizontal Saccade B (anti),Right,-9.8149,-7.018,8.4941,10.2464,3.8492,5.6353,19.3723,20.6845
Horizontal,Horizontal Saccade R,Left,-9.9761,-5.1476,7.967,9.876,3.3331,5.3697,22.479,25.5381
Horizontal,Horizontal Saccade R,Right,-11.4337,-6.3784,7.3414,9.02,2.6838,4.4924,22.4238,25.2492
Vertical,Vertical Saccade A,Left,-15.9271,-16.7941,3.2305,3.0129,-1.4365,-1.6684,14.7709,16.4206
Vertical,Vertical Saccade A,Right,-16.1921,-15.8658,3.0675,2.9035,-1.6019,-1.7539,14.9514,16.0307
Vertical,Vertical Saccade B,Left,-11.0588,-11.8143,8.1192,7.8337,3.4516,3.1556,19.3987,19.361
Vertical,Vertical Saccade B,Right,-11.5335,-11.5932,7.7518,7.9207,3.0818,3.2456,19.4697,19.349
Vertical,Vertical Saccade B (anti),Left,-11.3257,-11.5233,8.4356,8.5679,3.7552,3.8809,19.6561,19.7413
Vertical,Vertical Saccade B (anti),Right,-11.2912,-11.2932,8.189,8.62,3.5146,3.9366,19.2325,19.9269
Vertical,Vertical Saccade R,Left,-12.9487,-14.2957,6.1336,4.9132,1.4684,0.2449,20.5647,20.0994
Vertical,Vertical Saccade R,Right,-13.4635,-14.1732,5.5787,4.7591,0.9145,0.0976,20.6369,20.2087
